Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionBinary,SalaryAgeRatio,TenurePerRole,SatisfactionComposite,PromotionLag,IncomeVsRoleAvg,OvertimeFlag,CareerVelocity,ManagerTenureRatio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
31,670,26,1,1,31,3,1,3,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,0,93.90322580645162,0.4,2.5,1,0.8984643874884787,0,0.2,0.6,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
34,1346,19,2,2,93,3,1,4,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,0,78.26470588235294,1.0,3.0,1,0.8220143196724342,0,0.3333333333333333,1.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
28,103,24,3,3,50,2,1,3,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,1,72.42857142857143,0.5,2.75,4,0.6264731455451698,1,0.16666666666666666,0.75,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
29,1389,21,4,2,51,4,3,1,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,0,344.13793103448273,0.9,2.25,2,1.3680344490189498,0,0.3,0.8,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
32,334,5,2,1,80,4,1,2,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,0,103.0625,0.3333333333333333,2.25,6,1.0179098419570605,1,0.14285714285714285,0.8333333333333334,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
22,1123,16,2,4,96,4,1,4,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,0,133.4090909090909,0.0,3.0,1,0.9066561549186751,1,1.0,0.0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
53,1219,2,4,1,78,2,4,4,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,0,291.07547169811323,0.32,2.75,22,0.8978751303115323,0,0.12903225806451613,0.28,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
38,371,2,3,4,45,3,1,4,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,0,103.78947368421052,0.6666666666666666,3.5,2,1.2172942439898866,1,0.16666666666666666,0.6666666666666666,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
24,673,11,2,1,96,4,2,3,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,0,167.125,0.5,2.5,3,0.5498182540095198,0,0.4,0.75,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
36,1218,9,4,3,82,2,1,1,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,1,94.63888888888889,0.6,2.25,5,1.2974105102817974,0,0.1,0.6,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
34,419,7,4,1,53,3,3,2,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,0,352.7647058823529,0.5,2.25,10,0.7480564191959984,0,0.23076923076923078,0.9166666666666666,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
21,391,15,2,3,96,3,1,4,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,0,58.666666666666664,0.0,3.5,0,0.3802501289542445,0,0.0,0.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
34,699,6,1,2,83,3,1,1,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,1,87.05882352941177,0.5,2.25,3,0.9135879721627952,0,0.125,0.75,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
53,1282,5,3,3,58,3,5,3,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,0,360.2641509433962,0.9285714285714286,3.0,10,1.1113001710098138,0,0.19230769230769232,0.5714285714285714,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
32,1125,16,1,2,72,1,1,1,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,1,122.46875,0.2,2.0,4,1.2095781293601333,1,0.1,0.7,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
42,691,8,4,3,48,3,2,2,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,0,162.5,0.7777777777777778,3.0,5,0.985662169435812,0,0.2,0.2222222222222222,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
44,477,7,4,1,42,2,3,4,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,0,232.9090909090909,0.2727272727272727,3.0,17,1.3611797199138571,0,0.125,0.7727272727272727,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
46,705,2,4,2,83,3,5,1,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,0,411.89130434782606,1.0,2.25,0,1.1027445448896482,0,0.22727272727272727,0.5,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
33,924,2,3,3,78,3,1,4,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,0,75.63636363636364,1.0,3.5,1,0.7710438714402089,0,0.14285714285714285,0.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
44,1459,10,4,4,41,3,2,4,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,0,146.9318181818182,0.5,4.0,3,0.8587067612454221,1,0.2222222222222222,0.75,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
30,125,9,2,4,83,2,1,3,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,0,73.53333333333333,0.0,2.75,9,0.6814594472744795,0,0.1,0.8,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
39,895,5,3,4,56,3,2,4,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,1,53.48717948717949,0.0,3.75,1,0.7943640517897944,0,0.10526315789473684,0.0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False
24,813,1,3,2,61,3,1,4,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,1,95.54166666666667,0.0,2.25,0,0.7077220338409762,1,0.16666666666666666,0.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
43,1273,2,2,4,72,4,1,3,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,0,61.51162790697674,0.6,3.25,4,0.8163649278279032,0,0.16666666666666666,0.8,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
50,869,3,2,1,86,2,1,3,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,1,53.66,0.6666666666666666,2.5,3,1.0217060167555216,1,0.3333333333333333,0.6666666666666666,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False
35,890,2,3,4,97,3,1,4,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,0,57.542857142857144,1.0,3.0,0,0.766945925361767,0,0.5,1.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
36,852,5,4,2,82,2,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,0,94.97222222222223,1.0,2.75,1,1.0552558367650666,1,0.16666666666666666,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
33,1141,1,3,3,42,4,2,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,0,162.9090909090909,0.6,2.0,4,0.7763985088479012,0,0.2,0.6,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
35,464,4,2,3,75,3,1,4,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,0,55.74285714285714,0.0,3.25,1,0.6026869363701313,0,1.0,0.0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False
27,1240,2,4,4,33,3,1,1,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,0,86.70370370370371,0.0,3.0,1,0.7231625412826639,0,1.0,0.0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
26,1357,25,3,1,48,1,1,3,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,1,88.1923076923077,0.0,2.25,1,0.7083347745241984,0,1.0,1.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
27,994,8,3,4,37,3,3,3,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,0,323.18518518518516,0.8888888888888888,3.5,8,1.2602033832229884,0,0.3333333333333333,0.7777777777777778,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
30,721,1,2,3,58,3,2,4,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,0,133.7,0.6666666666666666,3.5,9,1.239045259754278,0,0.16666666666666666,0.5833333333333334,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
41,1360,12,3,2,49,3,5,3,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,1,476.7073170731707,0.6818181818181818,3.0,7,1.2190063959634643,0,0.21739130434782608,0.36363636363636365,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
34,1065,23,4,2,72,3,2,3,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,0,134.35294117647058,0.5555555555555556,2.75,1,0.6597076615359398,0,0.2,0.7777777777777778,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
37,408,19,2,2,73,3,1,2,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,0,81.67567567567568,0.0,2.0,1,0.9327239364445835,0,0.125,0.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
46,1211,5,4,1,98,3,2,4,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,0,125.47826086956522,0.6666666666666666,2.75,9,0.833588577580001,1,0.14285714285714285,0.8888888888888888,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
35,1229,8,1,4,36,4,1,4,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,0,64.82857142857142,0.0,3.75,1,0.7009208911449656,0,1.0,1.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
48,626,1,2,1,98,2,3,3,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,1,112.10416666666667,0.0,2.75,1,1.6622544359854825,1,0.13043478260869565,0.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
28,1434,5,4,3,50,3,1,3,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,1,122.89285714285714,1.0,2.75,0,1.0629655294974996,1,0.5,1.0,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True
44,1488,1,5,2,75,3,2,1,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,0,123.95454545454545,0.75,2.0,3,0.787663219355739,1,0.2222222222222222,0.75,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
35,1097,11,2,3,79,2,3,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,0,282.4,0.0,2.5,2,1.3128318063650042,1,0.3,0.75,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
26,1443,23,3,3,47,2,2,4,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,0,159.8846153846154,1.0,3.0,2,0.6003513023215634,1,0.4,0.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
33,515,1,2,1,98,3,3,4,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,0,407.8181818181818,0.9333333333333333,2.75,7,0.8393649566066156,1,0.2,0.8,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
35,853,18,5,2,71,3,3,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,0,259.1142857142857,0.8888888888888888,2.25,8,1.3097392255843778,0,0.3333333333333333,0.8888888888888888,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
35,1142,23,4,3,30,3,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,0,114.68571428571428,1.0,2.5,0,1.239971995176682,1,0.25,1.0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
31,655,7,4,4,48,3,2,4,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,0,190.80645161290323,1.0,3.5,6,1.8272133411734117,0,0.2,1.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
37,1115,1,4,1,51,2,2,3,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,0,161.97297297297297,0.7142857142857143,2.75,7,0.8215060574118803,0,0.2857142857142857,1.0,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
32,427,1,3,1,33,3,2,4,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,0,192.5625,0.8888888888888888,2.5,2,0.8446721718291351,1,0.2222222222222222,0.8888888888888888,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
38,653,29,5,4,50,3,2,4,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,0,63.31578947368421,0.3,3.75,1,0.743241808768086,0,0.2,0.9,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
50,989,7,2,2,43,2,5,3,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,0,374.8,0.1111111111111111,2.75,14,1.1687991742315333,1,0.1724137931034483,0.2962962962962963,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
59,1435,25,3,1,99,3,3,1,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,0,129.4406779661017,0.7619047619047619,2.0,14,1.1029306942097137,0,0.10714285714285714,0.42857142857142855,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
36,1223,8,3,3,59,3,3,3,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,0,280.44444444444446,0.8235294117647058,2.75,5,1.3409904812890614,0,0.17647058823529413,0.47058823529411764,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
55,836,8,3,4,33,3,4,3,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,0,268.2909090909091,0.0,3.25,5,0.858821898157579,1,0.19047619047619047,0.4,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
36,1195,11,3,2,95,2,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,0,180.52777777777777,0.8333333333333334,2.5,6,0.8908673230635425,0,0.3333333333333333,0.5,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
45,1339,7,3,2,59,3,3,1,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,0,216.0888888888889,0.0,2.25,1,3.0012599463888585,0,0.12,0.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
35,664,1,3,2,79,3,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,0,62.68571428571428,0.6666666666666666,2.25,2,0.677166219907153,0,0.2,0.6666666666666666,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
36,318,9,3,4,79,2,1,3,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,1,94.11111111111111,0.0,2.5,1,1.0456878546241724,1,0.5,0.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
59,1225,1,1,1,57,2,2,3,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,0,92.76271186440678,0.75,2.5,3,0.790407187299956,0,0.1,0.75,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
29,1328,2,3,3,76,3,1,2,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,0,93.20689655172414,0.8,3.0,5,0.8342663137689309,0,0.16666666666666666,0.8,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
31,1082,1,4,3,87,3,1,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,0,80.6774193548387,1.0,2.5,0,0.771920107560524,0,1.0,0.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
32,548,1,3,2,66,3,2,2,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,0,194.375,0.4,2.25,10,1.9197693198826304,0,0.2,0.9,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
36,132,6,3,2,55,4,1,4,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,0,84.38888888888889,0.0,2.75,1,0.9384740710878825,0,0.2,0.0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
31,746,8,4,3,61,3,2,4,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,0,142.70967741935485,0.6363636363636364,3.5,10,0.6064313028516868,0,0.18181818181818182,0.7272727272727273,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
35,776,1,4,3,32,2,2,1,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,0,123.2,0.8666666666666667,2.25,13,0.6227363039717541,0,0.125,0.5333333333333333,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
45,193,6,4,4,52,3,3,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,0,294.3333333333333,0.0,2.75,0,0.8260803128440053,1,0.17647058823529413,0.0,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
37,397,7,4,1,30,3,3,3,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,0,369.2972972972973,0.4,2.25,5,0.8522130158324264,0,0.1875,0.4,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
46,945,5,2,2,80,3,2,2,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,0,109.15217391304348,0.5,2.75,4,1.1853862952251668,1,0.125,0.5,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False
30,852,1,1,4,55,2,2,4,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,0,170.86666666666667,0.8,3.25,7,1.5834819250811343,1,0.2,0.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
35,1214,1,3,2,30,2,1,3,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,0,81.68571428571428,0.6666666666666666,2.25,6,0.8824148690585918,0,0.16666666666666666,0.6666666666666666,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
55,111,1,2,1,70,3,3,4,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,0,186.16363636363636,0.0,3.0,0,1.4787098832019456,0,0.125,0.0,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
38,573,6,3,2,79,1,2,4,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,0,140.23684210526315,0.8461538461538461,3.25,12,1.6447669944782215,1,0.11764705882352941,0.6923076923076923,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
34,1153,1,2,1,94,3,2,2,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,0,127.20588235294117,0.4,2.25,4,0.592860620441579,0,0.4,0.6,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
56,1400,7,3,4,49,1,3,4,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,0,129.64285714285714,0.6666666666666666,2.75,6,0.99518337674124,0,0.08108108108108109,0.3333333333333333,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
23,541,2,1,3,62,3,1,1,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,0,100.95652173913044,0.0,2.5,0,0.8842345773038842,0,0.3333333333333333,0.0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
51,432,9,4,4,96,3,1,4,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,0,40.68627450980392,0.5,3.25,4,0.6409920004961672,0,0.1,0.75,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
30,288,2,3,3,99,2,2,4,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,0,138.4,0.9090909090909091,2.75,1,0.5514849919088929,0,0.18181818181818182,0.7272727272727273,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
46,669,9,2,3,64,2,3,4,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,1,209.1086956521739,0.8888888888888888,3.5,5,1.3891698766011833,0,0.3333333333333333,0.7777777777777778,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
40,530,1,4,3,78,2,4,2,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,0,337.575,0.13636363636363635,2.75,11,1.7935216391487911,0,0.18181818181818182,0.5,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
51,632,21,4,3,71,3,2,4,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,0,106.68627450980392,0.7,3.0,9,0.7857857676044327,1,0.18181818181818182,0.0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
30,1334,4,2,3,63,2,2,2,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,0,173.63333333333333,0.7272727272727273,2.25,9,0.7522804748118893,1,0.18181818181818182,0.6363636363636364,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
46,638,1,3,3,40,2,3,1,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,0,232.02173913043478,0.9,2.25,1,1.4176298937002925,1,0.14285714285714285,0.5,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
32,1093,6,4,2,87,3,2,3,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,0,156.5625,0.7272727272727273,2.25,6,0.7235410210803543,0,0.16666666666666666,0.6363636363636364,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
54,1217,2,4,1,60,3,3,3,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,0,250.90740740740742,0.75,1.5,4,0.8450405555850077,0,0.1875,0.75,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
